,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
313,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems like the cheaper option.,cost effective,not very confident,very likely,no,It’s still to expsensive. ,too expensive,not very confident,very likely
322,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,prudent,to be prepared and protect,moderately confident,about as likely as not,no,expensive,too expensive,moderately confident,about as likely as not
324,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Not sure ,I don't know,extremely confident,very unlikely,no,Not likely because to flood,low risk of flooding,extremely confident,very unlikely
331,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),The increase every year,increase in rainfall,moderately confident,very likely,yes,The increase of the yeara,increase in rainfall,moderately confident,likely
333,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,History of flood,history of flood,moderately confident,about as likely as not,yes,History of flood ,history of flood,very confident,likely
339,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I can only explain what I can explain that's what I'm explaining,feels right,moderately confident,virtually certain,no,I'm not really sure what to explain that made me think that way,I don't know,very confident,very likely
353,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Seemed safe,safe than sorry,moderately confident,about as likely as not,yes,Looks like it could flood ,risk of flood(s),moderately confident,likely
356,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),This makes the most sense and should be or have been done immediately.,logical choice,moderately confident,about as likely as not,no,It appears there will be more moisture by this graph,increase in rainfall,not very confident,about as likely as not
358,Box_int,do nothing (protect against 0 heavy rainfall events per year),Not enough rain,low amount of rain,moderately confident,about as likely as not,no,Not enough rain ,low amount of rain,moderately confident,about as likely as not
360,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Would make a great deal of sense ,logical choice,extremely confident,very likely,yes,Live in a high flood area,risk of flood(s),extremely confident,virtually certain
365,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,covers many years,long lasting,very confident,likely,yes,rainfall contions,amount of rain,moderately confident,likely
367,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Based on # of days within a year. ,amount of rain,very confident,unlikely,yes,The rainfall keeps going up and up. It's bound to flood again,increase in risk of flood(s),extremely confident,very likely
374,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"In those 30 years, I'll likely move from that property.",likely to move,moderately confident,about as likely as not,yes,It floods in my region.,confusion about personal home,moderately confident,likely
382,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,To careful ,safe than sorry,moderately confident,about as likely as not,yes,information,the description,moderately confident,about as likely as not
383,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Helps protect from the elements,to be prepared and protect,moderately confident,about as likely as not,no,Will cause 25k in damage,damage costs,not very confident,about as likely as not
393,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I don't know ,I don't know,not very confident,likely,yes,So it can replace the damage that was done ,avoid damage and its costs,moderately confident,likely
400,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems like the best option to reduce costs,best economic choice,very confident,very likely,yes,Live in flood zone,confusion about personal home,very confident,virtually certain
